id,nationaldex_id,name,type1,type2,sprite_url,created_at,updated_at
40,29,nidoran-f,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/nidoran-f.png,2025-12-06 22:38:25,2025-12-06 22:38:25
41,30,nidorina,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/nidorina.png,2025-12-06 22:38:25,2025-12-06 22:38:25
42,31,nidoqueen,Poison,Ground,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/nidoqueen.png,2025-12-06 22:38:25,2025-12-06 22:38:25
43,32,nidoran-m,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/nidoran-m.png,2025-12-06 22:38:25,2025-12-06 22:38:25
44,33,nidorino,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/nidorino.png,2025-12-06 22:38:25,2025-12-06 22:38:25
45,34,nidoking,Poison,Ground,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/nidoking.png,2025-12-06 22:38:25,2025-12-06 22:38:25
46,35,clefairy,Fairy,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/clefairy.png,2025-12-06 22:38:25,2025-12-06 22:38:25
47,36,clefable,Fairy,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/clefable.png,2025-12-06 22:38:25,2025-12-06 22:38:25
48,37,vulpix,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/vulpix.png,2025-12-06 22:38:25,2025-12-06 22:38:25
49,37.001,vulpix-alola,Ice,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/vulpix-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
50,38,ninetales,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ninetales.png,2025-12-06 22:38:25,2025-12-06 22:38:25
51,38.001,ninetales-alola,Ice,Fairy,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ninetales-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
52,39,jigglypuff,Normal,Fairy,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/jigglypuff.png,2025-12-06 22:38:25,2025-12-06 22:38:25
53,40,wigglytuff,Normal,Fairy,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/wigglytuff.png,2025-12-06 22:38:25,2025-12-06 22:38:25
54,41,zubat,Poison,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/zubat.png,2025-12-06 22:38:25,2025-12-06 22:38:25
55,42,golbat,Poison,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/golbat.png,2025-12-06 22:38:25,2025-12-06 22:38:25
56,43,oddish,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/oddish.png,2025-12-06 22:38:25,2025-12-06 22:38:25
57,44,gloom,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/gloom.png,2025-12-06 22:38:25,2025-12-06 22:38:25
58,45,vileplume,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/vileplume.png,2025-12-06 22:38:25,2025-12-06 22:38:25
59,46,paras,Bug,Grass,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/paras.png,2025-12-06 22:38:25,2025-12-06 22:38:25
60,47,parasect,Bug,Grass,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/parasect.png,2025-12-06 22:38:25,2025-12-06 22:38:25
61,48,venonat,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/venonat.png,2025-12-06 22:38:25,2025-12-06 22:38:25
62,49,venomoth,Bug,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/venomoth.png,2025-12-06 22:38:25,2025-12-06 22:38:25
63,50,diglett,Ground,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/diglett.png,2025-12-06 22:38:25,2025-12-06 22:38:25
64,50.001,diglett-alola,Ground,Steel,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/diglett-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
65,51,dugtrio,Ground,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/dugtrio.png,2025-12-06 22:38:25,2025-12-06 22:38:25
66,51.001,dugtrio-alola,Ground,Steel,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/dugtrio-alola.png,2025-12-06 22:38:25,2025-12-06 22:38:25
67,52,meowth,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/meowth.png,2025-12-06 22:38:26,2025-12-06 22:38:26
68,52.001,meowth-alola,Dark,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/meowth-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
69,52.002,meowth-galar,Steel,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/meowth-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
70,53,persian,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/persian.png,2025-12-06 22:38:26,2025-12-06 22:38:26
71,53.001,persian-alola,Dark,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/persian-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
72,54,psyduck,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/psyduck.png,2025-12-06 22:38:26,2025-12-06 22:38:26
73,55,golduck,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/golduck.png,2025-12-06 22:38:26,2025-12-06 22:38:26
74,56,mankey,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/mankey.png,2025-12-06 22:38:26,2025-12-06 22:38:26
75,57,primeape,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/primeape.png,2025-12-06 22:38:26,2025-12-06 22:38:26
76,58,growlithe,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/growlithe.png,2025-12-06 22:38:26,2025-12-06 22:38:26
77,58.001,growlithe-hisui,Fire,Rock,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/growlithe-hisui.png,2025-12-06 22:38:26,2025-12-06 22:38:26
78,59,arcanine,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/arcanine.png,2025-12-06 22:38:26,2025-12-06 22:38:26
79,59.001,arcanine-hisui,Fire,Rock,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/arcanine-hisui.png,2025-12-06 22:38:26,2025-12-06 22:38:26
80,60,poliwag,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/poliwag.png,2025-12-06 22:38:26,2025-12-06 22:38:26
81,61,poliwhirl,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/poliwhirl.png,2025-12-06 22:38:26,2025-12-06 22:38:26
82,62,poliwrath,Water,Fighting,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/poliwrath.png,2025-12-06 22:38:26,2025-12-06 22:38:26
83,63,abra,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/abra.png,2025-12-06 22:38:26,2025-12-06 22:38:26
84,64,kadabra,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/kadabra.png,2025-12-06 22:38:26,2025-12-06 22:38:26
85,65,alakazam,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/alakazam.png,2025-12-06 22:38:26,2025-12-06 22:38:26
86,65.001,alakazam-mega,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/alakazam-mega.png,2025-12-06 22:38:26,2025-12-06 22:38:26
87,66,machop,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/machop.png,2025-12-06 22:38:26,2025-12-06 22:38:26
88,67,machoke,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/machoke.png,2025-12-06 22:38:26,2025-12-06 22:38:26
89,68,machamp,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/machamp.png,2025-12-06 22:38:26,2025-12-06 22:38:26
90,69,bellsprout,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/bellsprout.png,2025-12-06 22:38:26,2025-12-06 22:38:26
91,70,weepinbell,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/weepinbell.png,2025-12-06 22:38:26,2025-12-06 22:38:26
92,71,victreebel,Grass,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/victreebel.png,2025-12-06 22:38:26,2025-12-06 22:38:26
93,72,tentacool,Water,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/tentacool.png,2025-12-06 22:38:26,2025-12-06 22:38:26
94,73,tentacruel,Water,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/tentacruel.png,2025-12-06 22:38:26,2025-12-06 22:38:26
95,74,geodude,Rock,Ground,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/geodude.png,2025-12-06 22:38:26,2025-12-06 22:38:26
96,74.001,geodude-alola,Rock,Electric,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/geodude-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
97,75,graveler,Rock,Ground,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/graveler.png,2025-12-06 22:38:26,2025-12-06 22:38:26
98,75.001,graveler-alola,Rock,Electric,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/graveler-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
99,76,golem,Rock,Ground,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/golem.png,2025-12-06 22:38:26,2025-12-06 22:38:26
100,76.001,golem-alola,Rock,Electric,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/golem-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
101,77,ponyta,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ponyta.png,2025-12-06 22:38:26,2025-12-06 22:38:26
102,77.001,ponyta-galar,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/ponyta-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
103,78,rapidash,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/rapidash.png,2025-12-06 22:38:26,2025-12-06 22:38:26
104,78.001,rapidash-galar,Psychic,Fairy,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/rapidash-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
105,79,slowpoke,Water,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/slowpoke.png,2025-12-06 22:38:26,2025-12-06 22:38:26
106,79.001,slowpoke-galar,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/slowpoke-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
107,80,slowbro,Water,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/slowbro.png,2025-12-06 22:38:26,2025-12-06 22:38:26
108,80.001,slowbro-galar,Poison,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/slowbro-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
109,80.002,slowbro-mega,Water,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/slowbro-mega.png,2025-12-06 22:38:26,2025-12-06 22:38:26
110,81,magnemite,Electric,Steel,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/magnemite.png,2025-12-06 22:38:26,2025-12-06 22:38:26
111,82,magneton,Electric,Steel,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/magneton.png,2025-12-06 22:38:26,2025-12-06 22:38:26
112,83,farfetchd,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/farfetchd.png,2025-12-06 22:38:26,2025-12-06 22:38:26
113,83.001,farfetchd-galar,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/farfetchd-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
114,84,doduo,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/doduo.png,2025-12-06 22:38:26,2025-12-06 22:38:26
115,85,dodrio,Normal,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/dodrio.png,2025-12-06 22:38:26,2025-12-06 22:38:26
116,86,seel,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/seel.png,2025-12-06 22:38:26,2025-12-06 22:38:26
117,87,dewgong,Water,Ice,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/dewgong.png,2025-12-06 22:38:26,2025-12-06 22:38:26
118,88,grimer,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/grimer.png,2025-12-06 22:38:26,2025-12-06 22:38:26
119,88.001,grimer-alola,Poison,Dark,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/grimer-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
120,89,muk,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/muk.png,2025-12-06 22:38:26,2025-12-06 22:38:26
121,89.001,muk-alola,Poison,Dark,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/muk-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
122,90,shellder,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/shellder.png,2025-12-06 22:38:26,2025-12-06 22:38:26
123,91,cloyster,Water,Ice,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/cloyster.png,2025-12-06 22:38:26,2025-12-06 22:38:26
124,92,gastly,Ghost,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/gastly.png,2025-12-06 22:38:26,2025-12-06 22:38:26
125,93,haunter,Ghost,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/haunter.png,2025-12-06 22:38:26,2025-12-06 22:38:26
126,94,gengar,Ghost,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/gengar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
127,94.001,gengar-mega,Ghost,Poison,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/gengar-mega.png,2025-12-06 22:38:26,2025-12-06 22:38:26
128,95,onix,Rock,Ground,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/onix.png,2025-12-06 22:38:26,2025-12-06 22:38:26
129,96,drowzee,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/drowzee.png,2025-12-06 22:38:26,2025-12-06 22:38:26
130,97,hypno,Psychic,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/hypno.png,2025-12-06 22:38:26,2025-12-06 22:38:26
131,98,krabby,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/krabby.png,2025-12-06 22:38:26,2025-12-06 22:38:26
132,99,kingler,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/kingler.png,2025-12-06 22:38:26,2025-12-06 22:38:26
133,100,voltorb,Electric,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/voltorb.png,2025-12-06 22:38:26,2025-12-06 22:38:26
134,100.001,voltorb-hisui,Electric,Grass,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/voltorb-hisui.png,2025-12-06 22:38:26,2025-12-06 22:38:26
135,101,electrode,Electric,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/electrode.png,2025-12-06 22:38:26,2025-12-06 22:38:26
136,101.001,electrode-hisui,Electric,Grass,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/electrode-hisui.png,2025-12-06 22:38:26,2025-12-06 22:38:26
137,102,exeggcute,Grass,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/exeggcute.png,2025-12-06 22:38:26,2025-12-06 22:38:26
138,103,exeggutor,Grass,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/exeggutor.png,2025-12-06 22:38:26,2025-12-06 22:38:26
139,103.001,exeggutor-alola,Grass,Dragon,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/exeggutor-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
140,104,cubone,Ground,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/cubone.png,2025-12-06 22:38:26,2025-12-06 22:38:26
141,105,marowak,Ground,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/marowak.png,2025-12-06 22:38:26,2025-12-06 22:38:26
142,105.001,marowak-alola,Fire,Ghost,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/marowak-alola.png,2025-12-06 22:38:26,2025-12-06 22:38:26
143,106,hitmonlee,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/hitmonlee.png,2025-12-06 22:38:26,2025-12-06 22:38:26
144,107,hitmonchan,Fighting,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/hitmonchan.png,2025-12-06 22:38:26,2025-12-06 22:38:26
145,108,lickitung,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/lickitung.png,2025-12-06 22:38:26,2025-12-06 22:38:26
146,109,koffing,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/koffing.png,2025-12-06 22:38:26,2025-12-06 22:38:26
147,110,weezing,Poison,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/weezing.png,2025-12-06 22:38:26,2025-12-06 22:38:26
148,110.001,weezing-galar,Poison,Fairy,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/weezing-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
149,111,rhyhorn,Ground,Rock,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/rhyhorn.png,2025-12-06 22:38:26,2025-12-06 22:38:26
150,112,rhydon,Ground,Rock,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/rhydon.png,2025-12-06 22:38:26,2025-12-06 22:38:26
151,113,chansey,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/chansey.png,2025-12-06 22:38:26,2025-12-06 22:38:26
152,114,tangela,Grass,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/tangela.png,2025-12-06 22:38:26,2025-12-06 22:38:26
153,115,kangaskhan,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/kangaskhan.png,2025-12-06 22:38:26,2025-12-06 22:38:26
154,115.001,kangaskhan-mega,Normal,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/kangaskhan-mega.png,2025-12-06 22:38:26,2025-12-06 22:38:26
155,116,horsea,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/horsea.png,2025-12-06 22:38:26,2025-12-06 22:38:26
156,117,seadra,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/seadra.png,2025-12-06 22:38:26,2025-12-06 22:38:26
157,118,goldeen,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/goldeen.png,2025-12-06 22:38:26,2025-12-06 22:38:26
158,119,seaking,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/seaking.png,2025-12-06 22:38:26,2025-12-06 22:38:26
159,120,staryu,Water,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/staryu.png,2025-12-06 22:38:26,2025-12-06 22:38:26
160,121,starmie,Water,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/starmie.png,2025-12-06 22:38:26,2025-12-06 22:38:26
161,122,mr-mime,Psychic,Fairy,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/mr-mime.png,2025-12-06 22:38:26,2025-12-06 22:38:26
162,122.001,mr-mime-galar,Ice,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/mr-mime-galar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
163,123,scyther,Bug,Flying,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/scyther.png,2025-12-06 22:38:26,2025-12-06 22:38:26
164,124,jynx,Ice,Psychic,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/jynx.png,2025-12-06 22:38:26,2025-12-06 22:38:26
165,125,electabuzz,Electric,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/electabuzz.png,2025-12-06 22:38:26,2025-12-06 22:38:26
166,126,magmar,Fire,-,https://raw.githubusercontent.com/Autumnchi/coloured-home-sprites/main/magmar.png,2025-12-06 22:38:26,2025-12-06 22:38:26
